ADRESSEID;fylke;kommune;BYGNINGSTYPE;Lat;Lon
51193187;ROGALAND;UTSIRA;163-Våningh. benyttes som fritidsb;59.3018643465914;4.90321143923772
51193225;ROGALAND;UTSIRA;113-Våningshus;59.2999286534816;4.88636421273244
550590922;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2992777324992;4.89225621531575
6368848609;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3019897975284;4.90770326876866
551517600;ROGALAND;UTSIRA;721-Sykehjem;59.305690355993;4.88610470421598
512328707;ROGALAND;UTSIRA;NULL;59.3118041198961;4.88664200135444
550590925;ROGALAND;UTSIRA;NULL;59.3029954432897;4.89177883436053
51193062;ROGALAND;UTSIRA;111-Enebolig;59.3108600735424;4.8875269640968
51193087;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3094791949615;4.88664927998663
51193104;ROGALAND;UTSIRA;111-Enebolig;59.3001869453622;4.89877753575959
51193110;ROGALAND;UTSIRA;111-Enebolig;59.2994982234329;4.89403009534341
51193169;ROGALAND;UTSIRA;111-Enebolig;59.3073840197252;4.88704772649609
51193210;ROGALAND;UTSIRA;161-Fritidsbygg(hyttersommerh. ol;59.3041105461525;4.89215233122864
550563117;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3127669764399;4.87999909151049
51193103;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.302759430022;4.90805681345116
51193145;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2979900095651;4.89152758960988
51193166;ROGALAND;UTSIRA;111-Enebolig;59.3025429169698;4.88485470371133
51193244;ROGALAND;UTSIRA;111-Enebolig;59.3039016949951;4.88995006329241
551416322;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3032862480178;4.88740970252488
6283719966;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.302103751983;4.89252384251985
51193058;ROGALAND;UTSIRA;113-Våningshus;59.3078269661721;4.8858884602813
51193102;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.301848184699;4.90277395512678
51193205;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3020228940991;4.89230037179715
51193223;ROGALAND;UTSIRA;113-Våningshus;59.3077064622058;4.87985469254986
51193129;ROGALAND;UTSIRA;111-Enebolig;59.3000758438054;4.89054855015558
51193134;ROGALAND;UTSIRA;111-Enebolig;59.3017064253096;4.88814886217945
51193136;ROGALAND;UTSIRA;111-Enebolig;59.3003388786003;4.89101816678982
51193164;ROGALAND;UTSIRA;111-Enebolig;59.3004237817983;4.88598572176427
51193222;ROGALAND;UTSIRA;163-Våningh. benyttes som fritidsb;59.3092475121555;4.8825422152547
51193232;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.299201762989;4.8983295562027
51193237;ROGALAND;UTSIRA;672-Bedehus menighetshus;59.3045927636945;4.88641623840787
51193082;ROGALAND;UTSIRA;111-Enebolig;59.3116856695807;4.88720849556352
6242517446;ROGALAND;UTSIRA;659-Annen idrettsbygning;59.3058773122545;4.88629636012655
51193085;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3126809053246;4.88213114167171
51193161;ROGALAND;UTSIRA;111-Enebolig;59.3022008975502;4.88476266759502
51193216;ROGALAND;UTSIRA;111-Enebolig;59.2987734774507;4.89355729204794
551416321;ROGALAND;UTSIRA;111-Enebolig;59.2977233029751;4.89204979991234
51193086;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3075967960563;4.88087861975952
51193192;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3013836849221;4.88980262595219
51193240;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3096793204843;4.88573976227983
51193146;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3002828752801;4.88661183452531
51193090;ROGALAND;UTSIRA;111-Enebolig;59.3105916953333;4.88341304506661
51193151;ROGALAND;UTSIRA;111-Enebolig;59.2989745707296;4.88654417238134
51193167;ROGALAND;UTSIRA;522-Vandre-/feriehjem;59.306461175462;4.87217677101065
51193184;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.30188865973;4.90548654471282
51193206;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3019528774782;4.89221519863318
51193243;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3019424221693;4.90883209493544
551447917;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3117292742573;4.88684144253951
51193130;ROGALAND;UTSIRA;122-Tomannsbolig, horisontaldelt;59.3037486182161;4.8875364511224
51193140;ROGALAND;UTSIRA;111-Enebolig;59.301383803827;4.88934257130207
51193234;ROGALAND;UTSIRA;163-Våningh. benyttes som fritidsb;59.3022646764085;4.8998891115213
551447916;ROGALAND;UTSIRA;183-Naust båthus sjøbu;59.3116422766587;4.8866551608774
6242799407;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3116000813807;4.88680940841783
51193149;ROGALAND;UTSIRA;111-Enebolig;59.2990618688046;4.89088787764801
551562607;ROGALAND;UTSIRA;522-Vandre-/feriehjem;59.3065026607487;4.87212891646285
51193059;ROGALAND;UTSIRA;111-Enebolig;59.3114329934059;4.88271809483375
51193079;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3073120985067;4.88636145007647
51193132;ROGALAND;UTSIRA;111-Enebolig;59.2994080133658;4.89080181389711
584254706;ROGALAND;UTSIRA;122-Tomannsbolig, horisontaldelt;59.3037554527272;4.88739284667204
51193057;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3116812103091;4.88588244170425
51193147;ROGALAND;UTSIRA;111-Enebolig;59.2987166786806;4.88994753993981
51193182;ROGALAND;UTSIRA;NULL;59.3032587626334;4.90923439048719
51193215;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3021149275931;4.90768351399366
51193063;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3106204916512;4.88551047125273
51193112;ROGALAND;UTSIRA;111-Enebolig;59.3019730097515;4.89316460056106
51193142;ROGALAND;UTSIRA;113-Våningshus;59.2987769152837;4.88840799895628
51193170;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3112402210777;4.88741292366002
51193148;ROGALAND;UTSIRA;111-Enebolig;59.2988443931471;4.89042231392515
51193211;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2989516665326;4.88844406455828
51193080;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3111121487048;4.88543374302675
51193155;ROGALAND;UTSIRA;111-Enebolig;59.2980036501825;4.88881674177791
51193177;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3086490386381;4.88610195330442
51193201;ROGALAND;UTSIRA;111-Enebolig;59.3050886783075;4.88235686389633
51193221;ROGALAND;UTSIRA;161-Fritidsbygg(hyttersommerh. ol;59.3128029145648;4.88057237902022
551447914;ROGALAND;UTSIRA;NULL;59.3111414330415;4.88523027484519
51193127;ROGALAND;UTSIRA;111-Enebolig;59.2991262125073;4.89182394819852
51193138;ROGALAND;UTSIRA;111-Enebolig;59.2997155594989;4.89010809337175
51193180;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.307393017149;4.87966563806114
550641590;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.308975271199;4.87607590984627
51193118;ROGALAND;UTSIRA;211-Fabrikkbygning;59.297641002932;4.89446274467292
51193181;ROGALAND;UTSIRA;161-Fritidsbygg(hyttersommerh. ol;59.3092187280398;4.87594970401342
51193189;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3011824193723;4.89462234508433
51193197;ROGALAND;UTSIRA;111-Enebolig;59.3044726018142;4.88234708466115
51193218;ROGALAND;UTSIRA;522-Vandre-/feriehjem;59.3102190306898;4.88950673410884
6368848608;ROGALAND;UTSIRA;121-Tomannsbolig, vertikaldelt;59.3021414512181;4.90767557623264
6410310470;ROGALAND;UTSIRA;NULL;59.3028296182566;4.90594799522912
51193114;ROGALAND;UTSIRA;111-Enebolig;59.300304185661;4.89577012012799
51193159;ROGALAND;UTSIRA;111-Enebolig;59.3028458034388;4.88352526971344
51193165;ROGALAND;UTSIRA;111-Enebolig;59.3007861401118;4.88633705952357
51193191;ROGALAND;UTSIRA;111-Enebolig;59.2991251775012;4.89308037401754
51193209;ROGALAND;UTSIRA;113-Våningshus;59.3035462982159;4.88899496949988
51193228;ROGALAND;UTSIRA;159-Annen bygning for bofellesskap;59.2986763617378;4.89312641432504
51193235;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3038648469811;4.88774931550604
550590920;ROGALAND;UTSIRA;NULL;59.2978804364663;4.89186117899568
51193066;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3073608170315;4.88098484072241
51193168;ROGALAND;UTSIRA;322-Butikk/forretningsbygning;59.2988434349482;4.89144871751543
51193065;ROGALAND;UTSIRA;163-Våningh. benyttes som fritidsb;59.3084916746146;4.89009555553609
51193139;ROGALAND;UTSIRA;111-Enebolig;59.3005035570984;4.89057956747647
51193202;ROGALAND;UTSIRA;113-Våningshus;59.3113372390868;4.88207429183345
51193236;ROGALAND;UTSIRA;113-Våningshus;59.3041724817503;4.88659538163833
51193120;ROGALAND;UTSIRA;111-Enebolig;59.3017961231112;4.89102365952034
51193196;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2975988866582;4.89196324949104
51193229;ROGALAND;UTSIRA;111-Enebolig;59.2990561814959;4.89416255257552
51193242;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3094358456396;4.90434171558463
51193092;ROGALAND;UTSIRA;111-Enebolig;59.3073702203249;4.87776126020849
51193094;ROGALAND;UTSIRA;111-Enebolig;59.3100130749081;4.87949849565672
51193121;ROGALAND;UTSIRA;111-Enebolig;59.3007015334124;4.89021944459634
51193135;ROGALAND;UTSIRA;111-Enebolig;59.3034997794351;4.88736335841637
51193174;ROGALAND;UTSIRA;529-Annen bygning for overnatting;59.3116152576314;4.88584913485125
551406722;ROGALAND;UTSIRA;671-Kirke kapell;59.3094671226975;4.88268867567355
51193093;ROGALAND;UTSIRA;111-Enebolig;59.3080212224652;4.8802911105674
51193217;ROGALAND;UTSIRA;211-Fabrikkbygning;59.3120471908979;4.88524166613124
51193084;ROGALAND;UTSIRA;111-Enebolig;59.3090735056899;4.88216970235435
51193099;ROGALAND;UTSIRA;111-Enebolig;59.2987256295831;4.8987198445596
51193105;ROGALAND;UTSIRA;111-Enebolig;59.3002428736509;4.90030000281967
51193123;ROGALAND;UTSIRA;113-Våningshus;59.2997561634803;4.89328050339688
51193195;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.2995218752235;4.88694619537416
51193230;ROGALAND;UTSIRA;162-Helårsb.benyttes som fritidsb.;59.3002645443406;4.8964189188394
551406723;ROGALAND;UTSIRA;823-Fyrstasjon losstasjon;59.3064998892677;4.87255445791965
551517601;ROGALAND;UTSIRA;619-Annen skolebygning;59.3059546024429;4.8872818208084
557317893;ROGALAND;UTSIRA;NULL;59.3055429355262;4.87857528202451
557317893;ROGALAND;UTSIRA;NULL;5,93055E+14;4,87858E+14
